Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	"CNS embryonal tumor, NOS or NEC"	"CNS Embryonal Tumor, NEC/NOS"	
Release 47 liftover	"CNS embryonal tumor, NOS; WHO Grade IV"	"CNS embryonal tumor, NOS"	
Release 47 liftover	"CNS Embyronal Tumor, NOS"	"CNS Embryonal Tumor, NEC/NOS"	
Release 47 liftover	CNS high grade neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	CNS neoplasm	"Neoplasm, NOS"	
Release 47 liftover	"CNS neuroblastoma, CNS WHO grade 4"	Neuroblastoma	
Release 47 liftover	"CNS Neuroblastoma, FOXR-2Activated (WHO Grade 4)"	"CNS neuroblastoma, FOXR2-activated"	
Release 47 liftover	CNS Tumor with BCOR-internal tandem duplication	CNS tumor with BCOR internal tandem duplication	
Release 47 liftover	CNS WHO grade 4	Unknown	
Release 47 liftover	Colorectal adenocarcinoma	"Adenocarcinoma, NOS"	
Release 47 liftover	Combined capillary-venous vascular malformation	Unknown	
Release 47 liftover	Compact neoplasm with mesenchymal features	"Neoplasm, NOS"	
Release 47 liftover	compatible with medulloblastoma	Unknown	
Release 47 liftover	Compatible with myxopapillary ependymoma	Unknown	
Release 47 liftover	Compatible with small blue cell tumor	Unknown	
Release 47 liftover	Compatible with small blue cell tumor; favor primary CNS origin	"Neoplasm, NOS"	
Release 47 liftover	Complex neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Composite neuroblastoma	Neuroblastoma	
Release 47 liftover	Composite pheochromocytoma and neuroblastoma tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Compound Clear cell sarcoma	Clear Cell Sarcoma	
Release 47 liftover	Compound melanocytic neoplasm	"Neoplasm, NOS"	
Release 47 liftover	"Congenital, pediatricy type spindle/sclerosing rhabdomyosarcoma"	Spindle Cell/Sclerosing Rhabdomyosarcoma	
Release 47 liftover	Consider embryonal tumor or poorly differentiated glioma	Unknown	
Release 47 liftover	"Consistent with choroid plexus carcinoma, WHO Grade 3"	Unknown	
Release 47 liftover	consistent with CNS embryonal tumor	Unknown	
Release 47 liftover	Consistent with craniopharyngioma	Unknown	
Release 47 liftover	"Consistent with craniopharyngioma, WHO grade 1"	Unknown	
Release 47 liftover	"Consistent with demosplastic myoxid tumor, SMARCA1 deficient"	Unknown	
Release 47 liftover	Consistent with desmoid fibromatosis	Unknown	
Release 47 liftover	Consistent with desmoplastic small round cell tumor	Unknown	
Release 47 liftover	"Consistent with diffuse midline glioma, H3 K27-altered"	Unknown	
Release 47 liftover	Consistent with dysembryoplastic neuroepithelial tumor	Unknown	
Release 47 liftover	"Consistent with embryonal tumor, such as medulloblastoma"	Unknown	
Release 47 liftover	"Consistent with glial neoplasm, pending additional testing"	Unknown	
Release 47 liftover	"Consistent with high grade astrocytoma, IDH wild type"	Unknown	
Release 47 liftover	"Consistent with medulloblastoma, CNS WHO grade 4"	Unknown	
Release 47 liftover	Consistent with Meningioma	Unknown	
Release 47 liftover	"Consistent with neoplasm, morphologically favor low grade astrocytoma"	Unknown	
Release 47 liftover	"Consistent with neuroblastoma, metastatic"	Unknown	
Release 47 liftover	"Consistent with Oligodendroglioma, IDH mutant"	Unknown	
Release 47 liftover	"Consistent with pilocytic astrocytoma, CNS WHO Grade 1"	Unknown	
Release 47 liftover	"Consistent with pilocytic astrocytoma, WHO Grade 1"	Unknown	
Release 47 liftover	"Consistent with Pineoblastoma, WHO Grade 4"	Unknown	
Release 47 liftover	Consistent with primitive neuroectodermal tumor (PNET).	Unknown	
Release 47 liftover	consistent with rhabdomyosarcoma	Unknown	
Release 47 liftover	Consistent with thymoma	Unknown	
Release 47 liftover	Consistent with vascular anomaly	Unknown	
Release 47 liftover	Craniopharyngioma	"Craniopharyngioma, NOS"	
Release 47 liftover	Craniopharyngioma (WHO Grade I)	"Craniopharyngioma, NOS"	
Release 47 liftover	Craniopharyngioma adamantinomatous	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	Craniopharyngioma adamantinomatous type WHO Grade 1	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous subtype"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous subtype, CNS WHO grade 1"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous type"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous type, CNS WHO grade 1"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous type, WHO grade 1"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, adamantinomatous variant, CNS WHO grade 1"	"Craniopharyngioma, adamantinomatous"	
Release 47 liftover	"Craniopharyngioma, WHO Grade 1"	"Craniopharyngioma, NOS"	
Release 47 liftover	"Cystic pleuropulmonary blastoma, type 1"	Pleuropulmonary blastoma	
Release 47 liftover	"Densely cellular blue cell tumor, consistent with medulloblastoma"	"Neoplasm, NOS"	
Release 47 liftover	"Densely cellular small round blue cell lesion, embryonal tumor"	"Embryonal Tumors, NOS"	
Release 47 liftover	"Densely cellular small round blue cell lesion, embryonal tumor; favor medulloblastoma"	"Embryonal Tumors, NOS"	
Release 47 liftover	Densely cellular tumor with dyscohesive cells	"Neoplasm, NOS"	
Release 47 liftover	"Densely cellular, high-grade tumor, favor embryonal tumor, high-grade glioma less likely"	"Neoplasm, malignant"	
Release 47 liftover	Dermatofibrosarcoma protuberans (DFSP)	Dermatofibrosarcoma Protuberans	
Release 47 liftover	Dermatofibrosarcoma protuberans with myxoid changes	Dermatofibrosarcoma Protuberans	
Release 47 liftover	Desmoid fibromatosis with CTNNB1 gene mutation	Desmoid Fibromatosis	
Release 47 liftover	Desmoid tumor	Desmoid Fibromatosis	
Release 47 liftover	Desmoid type fibromatosis	Desmoid Fibromatosis	
Release 47 liftover	Desmoid type fibromatosis (desmoid tumor)	Desmoid Fibromatosis	
Release 47 liftover	Desmoid/fibromatosis	Desmoid Fibromatosis	
Release 47 liftover	Desmoid-type fibromatosis	Desmoid Fibromatosis	
Release 47 liftover	Desmoplastic	Unknown	
Release 47 liftover	Desmoplastic infantile ganglioglioma	Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	
Release 47 liftover	Desmoplastic infantile ganglioglioma CNS WHO grade 1	Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	
Release 47 liftover	"Desmoplastic infantile ganglioglioma, WHO Grade 1"	Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	
Release 47 liftover	Desmoplastic infantile ganglioglioma/ Desmoplastic infantile astrocytoma	Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	
Release 47 liftover	Desmoplastic medulloblastoma	Desmoplastic nodular medulloblastoma	
Release 47 liftover	"Desmoplastic round blue cell tumor, EWSR1-WT1 fusion positive"	"Neoplasm, NOS"	
Release 47 liftover	Desmoplastic/Nodular Medulloblastoma	Desmoplastic nodular medulloblastoma	
Release 47 liftover	"Desmoplastic/nodular medulloblastoma (histologically defined), CNS WHO grade 4"	Desmoplastic nodular medulloblastoma	
Release 47 liftover	"Desmoplastic/nodular medulloblastoma with diffuse anaplasia, WHO CNS Grade IV"	Desmoplastic nodular medulloblastoma	
Release 47 liftover	"Desmoplastic/nodular medulloblastoma, CNS WHO grade 4"	Desmoplastic nodular medulloblastoma	
Release 47 liftover	"Desmoplastic/nodular medulloblastoma, histologically defined, CNS WHO grade 4"	Desmoplastic nodular medulloblastoma	
Release 47 liftover	DFSP Tumor	Dermatofibrosarcoma Protuberans	
Release 47 liftover	differential diagnosis includes medulloblastoma	Unknown	
Release 47 liftover	differential includes pilocytic astrocytoma	Unknown	
Release 47 liftover	Differential may include meningioma or glial neoplasm	Unknown	
Release 47 liftover	Differentiating neuroblastoma	Neuroblastoma	
Release 47 liftover	"Differentiating neuroblastoma, schwannian stroma poor, favorable histology group"	Neuroblastoma	
Release 47 liftover	"Differentiating neuroblastoma, with low mitotic karyorrhectic indiex (favorable histology)"	Neuroblastoma	
Release 47 liftover	"Diffuse astocytoma, MIB-altered, CNS WHO Grade 1"	"Astrocytoma, NOS"	
Release 47 liftover	Diffuse astrocytic glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse astrocytic glioma with mitotic activity and necrosis	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse Astrocytic neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Diffuse Astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	"Diffuse astrocytoma, CNS WHO grade 1"	"Astrocytoma, NOS"	
Release 47 liftover	"Diffuse astrocytoma, MYB or MYBL1-altered, CNS WHO grade 1"	"Diffuse astrocytoma, MYB- or MYBL1-altered"	
Release 47 liftover	"Diffuse astrocytoma, MYB-altered, CNS WHO grade 1."	"Diffuse astrocytoma, MYB- or MYBL1-altered"	
Release 47 liftover	"Diffuse glial lesion, overall, favor diffuse low grade (glioma)"	Unknown	
Release 47 liftover	Diffuse Glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse glioma CNS WHO grade 2	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse glioma high-grade	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse glioma with abundant rosenthal fibers	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse glioma with scattered mitoses	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, astrocytic phenotype"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, CNS WHO grade 4"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, favor high grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, H3-wildtype"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, high grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, histologically low grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, infiltrating gray matter"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse glioma, with focal areas concerning for high grade, at least Grade 3"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse hemispheric glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse Hemispheric glioma CNS WHO grade 4	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse hemispheric glioma, H3 G34 mutant, CNS WHO grade 4"	"Diffuse Hemispheric Glioma, H3 G34-mutant"	
Release 47 liftover	"Diffuse hemispheric glioma, H3 G34-mutant, CNS WHO Grade 4"	"Diffuse Hemispheric Glioma, H3 G34-mutant"	
Release 47 liftover	"Diffuse hemispheric glioma, H3 G34-mutant, WHO grade 4"	"Diffuse Hemispheric Glioma, H3 G34-mutant"	
Release 47 liftover	"Diffuse hemispheric glioma, H3 G34R-mutant (IHC), CNS WHO grade 4"	"Diffuse Hemispheric Glioma, H3 G34-mutant"	
Release 47 liftover	Diffuse hemispheric high-grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Diffuse high grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Diffuse High Grade Glioma, WHO Grade 4"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Diffuse high-grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Diffuse high-grade glioma, CNS WHO grade 4"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Diffuse high-grade glioma, H3-wildtype and IDH-wildtype"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Diffuse high-grade glioma, involving cerebral cortex and white matter"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Diffuse high-grade malignancy	"Neoplasm, malignant"	
Release 47 liftover	"Diffuse infiltrating astrocytoma, H3-wildtype and IDH-wildtype, CNS WHO Grade 3"	"Astrocytoma, NOS"	
Release 47 liftover	Diffuse infiltrating glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse leptomeningeal glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse leptomeningeal melanocytic neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Diffuse low grade glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Diffuse low grade neuroepithelial tumor, with mixed glial and neuronal-type elements"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffuse lower grade glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Diffuse Low-grade Glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Diffuse midline glioma	"Diffuse midline glioma, NOS"	
Release 47 liftover	Diffuse midline glioma (Diffuse intrinsic Pontine glioma)	Diffuse intrinsic pontine glioma	
Release 47 liftover	"Diffuse midline glioma (DMG), H3 K27-altered"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma (DMG), H3 K27-altered (by IHC)"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Diffuse midline glioma CNS WHO grade 4	"Diffuse midline glioma, NOS"	
Release 47 liftover	Diffuse Midline Glioma H3 K27 altered CNS WHO grade 4	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Diffuse midline glioma H3 K27-altered WHO grade 4	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Diffuse midline Glioma H3 K27M-Mutant(by IHC) WHO grade 4	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	Diffuse midline glioma H3K27-altered WHO grade 4	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Diffuse midline glioma H3K27M	"Diffuse midline glioma, NOS"	
Release 47 liftover	"Diffuse midline glioma H3K27M negative, H3K27me3 mutated"	"Diffuse midline glioma, NOS"	
Release 47 liftover	"Diffuse midline glioma, CNS WHO Grade 4"	"Diffuse midline glioma, NOS"	
Release 47 liftover	"Diffuse midline glioma, H3 K27 altered, WHO Grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-altered (WHO grade 4)"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-altered CNS WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-altered, CNS WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-altered, H3 K27M, WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-altered, H3 p.K27M-mutant subgroup, CNS WHO grade 4"	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	"Diffuse Midline Glioma, H3 K27-altered, WHO Grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3 K27-mutant"	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	"Diffuse midline glioma, H3K 27-altered, WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27 - altered"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27 altered, CNS WHO Grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27-altered"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27-altered (WHO grade 4)"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27M altered, CNS WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline glioma, H3K27M mutant"	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	"Diffuse midline glioma, H3K27M mutated by IHC, WHO grade IV"	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	"Diffuse midline glioma, H3K27M-mutant, CNS WHO grade 4"	"Diffuse midline glioma, H3 K27M-mutant"	
Release 47 liftover	"Diffuse midline glioma-H3K27M altered, WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	"Diffuse midline high-grade glioma, H3 K27-altered (CNS WHO grade 4)"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Diffuse paediatric-type high-grade glioma	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Diffuse pediatric high grade glioma, CNS WHO Grade 4"	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	Diffuse pediatric high-grade glioma	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	Diffuse pediatric type high grade glioma	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Diffuse pediatric type high-grade glioma, H3-Wild-Type and IDH Wild-type"	"Diffuse Pediatric-type High-grade Glioma, H3-wildtype and IDH-wildtype"	
Release 47 liftover	Diffuse pediatric-type high-grade glioma	"Pediatric-type Diffuse High-grade Gliomas, NOS"	
Release 47 liftover	"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype (CNS WHO Grade 4), with evidence of DNA mismatch repair deficiency"	"Diffuse Pediatric-type High-grade Glioma, H3-wildtype and IDH-wildtype"	
Release 47 liftover	"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype, not elsewhere classified, WHO grade 4"	"Diffuse Pediatric-type High-grade Glioma, H3-wildtype and IDH-wildtype"	
Release 47 liftover	Diffuse poorly differentiated retinoblastoma	Retinoblastoma	
Release 47 liftover	"Diffuse, high grade glial neoplasm"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Diffuse, low grade neuroepithelial tumor"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Diffused astrocytoma	"Astrocytoma, NOS"	
